date,humidity,temp,pressure
19961101-11:00,27,30,1010
19961101-12:00,32,28,-9999
19961101-13:00,44,24,-9999
19961101-14:00,41,24,1010
19961101-16:00,47,23,1011
19961101-17:00,56,21,1011
19961101-18:00,60,21,1010
19961101-19:00,60,21,-9999
19961101-20:00,68,19,-9999
19961101-21:00,68,19,1010
19961101-22:00,68,19,1009
19961101-23:00,64,19,1009
19961102-00:00,60,19,1010
19961102-01:00,60,19,1010
19961102-02:00,52,20,1011
19961102-03:00,46,22,1012
19961102-04:00,44,23,1012
19961102-05:00,39,26,1012
19961102-06:00,32,28,1011
19961102-07:00,29,30,1010
19961102-08:00,24,31,1009
19961102-09:00,22,31,1009
19961102-10:00,22,31,1009
19961102-11:00,25,30,1009
19961102-12:00,34,27,1009
19961102-13:00,41,25,1009
19961102-14:00,53,22,1010
19961102-15:00,56,21,1010
19961102-16:00,64,19,1010
19961102-17:00,60,20,1010
19961102-18:00,64,19,1009
19961102-19:00,60,19,1009
19961102-20:00,68,17,1009
19961102-21:00,68,17,1009
19961102-22:00,72,17,1009
19961102-23:00,72,17,1009
19961103-00:00,68,17,1010
19961103-01:00,72,16,1011
19961103-02:00,63,17,1011
19961103-03:00,64,19,1012
19961103-04:00,53,22,1012
19961103-05:00,60,22,1012
19961103-06:00,44,26,1011
19961103-07:00,30,28,1010
19961103-08:00,35,28,1010
19961103-09:00,33,29,1009
19961103-10:00,33,29,1009
19961103-11:00,39,27,1009
19961103-12:00,42,26,1010
19961103-13:00,60,22,1010
19961103-14:00,57,22,1011
19961103-15:00,60,21,1011
19961103-16:00,56,21,1011
19961103-17:00,64,20,1011
19961103-18:00,60,20,1011
19961103-19:00,64,19,1011
19961103-20:00,68,19,1010
19961103-21:00,64,19,1010
19961103-22:00,77,17,1010
19961103-23:00,77,17,1010
19961104-00:00,68,18,1011
19961104-01:00,77,15,1012
19961104-02:00,68,17,1013
19961104-03:00,60,20,1014
19961104-05:00,42,26,1013
19961104-06:00,37,28,1013
19961104-07:00,32,28,1012
19961104-08:00,27,29,1011
19961104-09:00,29,29,1010
19961104-10:00,25,29,1010
19961104-11:00,34,27,1010
19961104-12:00,39,25,1010
19961104-13:00,44,23,1011
19961104-16:00,46,21,1011
19961104-17:00,46,21,1011
19961104-18:00,59,18,1011
19961104-19:00,64,18,1011
19961104-21:00,68,17,1010
19961105-04:00,38,24,1013
19961105-05:00,34,26,1013
19961105-06:00,27,29,1012
19961105-07:00,23,30,1011
19961105-08:00,25,30,1010
19961106-07:00,30,28,1012
19961106-08:00,25,29,1011
19961106-09:00,27,29,1011
19961106-10:00,22,29,1010
19961106-11:00,26,28,1010
19961106-12:00,32,25,1011
19961106-13:00,36,24,1012
